39.01,42.18,252.5,277.3,297.8,365.17,446.21,449.52,475.17,506.75,541.89,583.78,646.38,693.95,721.39,728.46,1
18.36,29.22,34.12,57.94,60.81,64.89,69.14,75.05,80.11,80.37,97.05,98.49,114.75,128.97,148.3,174.13,11
14.13,14.9,22.14,35.52,63.04,82.31,116.23,153.45,158.68,292.88,336.72,347.97,370.77,381.45,433.24,450.5,2
59.8,132.06,143.75,187.55,215.58,265.98,319.51,326.26,338.48,400.66,476.32,480.62,675.39,680.24,680.82,699.18,9
79.81,81.06,177.53,207.66,212.53,231.13,234.04,271.57,275.71,297.64,339.68,350.77,426.4,535.09,571.42,595.7,9
4.34,29.86,50.99,185.66,225.62,242.83,248.44,286.0,337.83,369.02,497.66,523.38,574.78,712.12,741.68,814.36,0
135.52,198.06,234.38,334.11,346.31,346.32,370.92,425.39,494.05,596.38,611.09,611.78,633.31,638.41,719.63,736.72,15
4.72,22.18,46.62,48.91,48.93,55.01,69.84,95.26,149.1,153.89,164.96,166.93,171.0,198.53,230.43,236.75,0
211.32,248.5,318.96,355.73,389.74,398.47,446.57,467.8,525.85,544.78,596.9,601.37,669.77,731.68,735.56,758.77,11
0.86,8.19,30.96,42.76,52.79,58.23,60.6,107.93,108.88,114.84,116.34,125.16,128.07,130.9,133.57,170.03,0
3.05,9.03,12.14,13.93,16.07,48.42,72.99,80.22,81.34,82.91,84.87,85.22,93.98,111.93,129.35,130.97,4
7.77,24.59,40.67,47.56,54.82,63.13,87.44,89.02,104.75,109.36,118.88,142.55,150.88,161.79,170.24,171.19,0
22.18,55.1,94.23,97.6,98.56,124.73,236.87,247.7,317.42,392.96,447.89,493.43,508.82,519.85,565.72,574.59,4
9.82,38.89,111.32,130.67,232.32,232.86,389.93,399.71,401.37,403.2,433.24,441.65,481.51,576.27,608.02,613.56,0
0.06,110.69,265.7,322.73,336.0,339.57,349.12,364.77,384.48,391.64,416.76,425.78,432.35,444.37,500.2,534.11,0
32.02,59.46,64.95,153.9,190.52,191.58,249.18,266.97,270.7,279.96,292.49,297.84,303.66,336.71,394.24,408.6,11
12.44,19.1,28.77,57.98,90.46,111.24,111.83,208.8,212.44,255.59,330.8,377.54,388.27,388.95,398.92,425.08,2
22.06,53.72,133.34,262.18,318.1,342.61,387.72,391.24,435.08,601.86,602.33,705.52,719.82,775.54,801.77,809.22,0
33.58,41.73,65.68,95.76,116.03,120.37,131.33,152.6,159.26,162.32,176.63,178.63,251.96,259.53,335.58,421.58,10
87.46,137.84,182.24,186.15,219.9,249.81,253.62,335.21,374.49,422.16,432.37,482.96,515.62,552.28,623.09,876.91,5
47.6,58.76,76.23,77.14,93.35,139.03,195.39,221.2,317.07,326.7,394.5,560.06,687.0,792.77,862.26,862.51,4
10.2,15.06,22.56,25.0,120.97,140.22,162.76,264.55,305.25,346.3,396.12,400.11,405.81,431.97,448.37,485.53,3
33.62,39.4,41.32,44.85,56.41,78.44,85.72,96.72,98.77,112.83,120.71,130.87,152.45,187.88,188.85,206.04,11
15.7,26.13,33.44,56.24,56.89,77.44,77.67,77.87,81.25,88.76,107.7,112.05,122.18,128.1,131.3,139.56,9
53.79,54.51,73.9,109.54,112.73,130.31,160.35,169.62,198.32,199.55,226.82,253.73,259.87,265.1,287.76,323.92,12
18.7,29.1,31.69,58.28,61.57,72.05,78.15,149.0,157.36,365.67,378.27,386.06,391.49,450.57,459.02,514.17,2
36.23,36.67,99.35,185.36,231.08,242.98,244.25,294.84,344.16,386.97,406.88,476.3,480.51,491.83,510.42,518.81,1
17.44,61.14,64.59,80.56,139.79,146.06,266.43,291.52,326.73,386.14,413.17,461.24,488.83,495.39,509.76,535.56,0
50.99,59.78,81.62,91.41,178.48,202.11,261.44,276.51,279.53,338.39,343.58,352.72,378.03,389.0,395.25,433.82,3
12.47,99.49,189.44,192.4,319.83,331.35,363.63,383.9,468.5,496.58,575.84,612.35,614.71,661.74,683.77,757.75,0
61.22,62.46,105.04,113.99,166.14,203.96,205.48,262.2,315.7,329.04,336.93,343.82,399.48,419.07,424.36,439.15,15
2.09,6.95,7.07,16.45,28.04,39.48,47.78,48.63,49.1,87.74,90.56,100.24,103.96,111.18,112.95,124.18,2
0.43,0.78,1.26,7.52,12.24,18.04,18.18,21.0,21.3,25.9,34.28,34.4,37.94,38.89,40.82,42.05,1
1.01,2.8,3.68,4.83,5.13,8.87,10.74,11.12,11.38,12.99,14.86,15.77,15.78,16.48,18.63,18.89,4
44.5,74.5,85.64,107.64,115.47,142.63,152.71,170.32,181.21,198.79,200.27,205.11,229.24,294.1,345.38,392.74,11
111.1,121.14,156.64,157.64,203.74,265.71,371.13,391.29,408.03,409.1,500.8,526.83,543.72,546.67,551.17,602.18,3
1.63,5.33,11.71,34.75,54.56,63.08,68.17,71.93,74.32,90.61,102.57,102.63,105.41,114.82,122.71,129.94,0
5.05,6.25,7.09,7.38,26.82,28.97,32.48,36.72,38.5,38.96,45.79,55.77,69.54,101.63,127.19,132.45,3
3.01,137.27,157.58,197.18,249.77,333.78,351.37,382.64,388.06,451.15,526.71,545.98,643.41,677.37,809.72,895.97,0
2.56,7.26,7.9,10.71,10.77,13.43,13.51,16.87,17.3,18.71,23.82,28.61,30.23,32.2,33.47,33.87,7
1.84,38.59,111.27,115.04,149.45,182.97,185.66,216.81,233.3,247.85,258.73,314.33,400.74,414.6,478.8,518.93,0
2.87,12.58,15.66,26.77,30.11,30.74,41.77,46.11,46.95,50.39,51.52,55.27,58.93,62.45,62.64,69.56,12
32.07,32.51,41.28,48.97,87.88,88.45,186.72,204.47,242.17,305.9,419.52,422.32,482.3,491.07,495.62,506.84,3
60.72,127.54,136.56,164.22,176.3,263.32,321.58,389.24,391.37,693.8,694.79,709.96,744.57,754.86,784.49,841.03,4
128.08,309.4,333.93,343.24,413.75,422.85,426.18,460.38,462.31,553.66,567.15,630.28,692.72,794.98,849.77,942.47,10
133.62,173.12,199.92,251.46,362.64,428.67,467.29,470.89,526.3,726.59,753.55,770.47,811.28,826.66,871.86,916.89,1
0.08,83.2,120.97,166.03,202.19,226.21,227.37,296.75,311.86,352.08,356.22,368.18,482.82,505.48,558.44,591.79,0
16.36,26.85,30.34,51.88,56.13,72.89,77.85,81.48,92.68,97.76,108.5,110.57,115.71,115.93,128.64,130.57,12
45.0,105.25,197.97,198.39,211.86,223.04,232.2,262.07,271.09,356.88,398.36,461.23,462.42,474.12,491.37,622.75,8
11.88,25.09,46.29,57.7,64.73,82.36,97.35,100.7,111.38,138.52,145.15,147.27,158.67,179.05,180.36,190.51,12
11.04,58.93,106.08,122.24,141.21,163.67,190.15,226.29,241.32,256.68,260.24,268.73,292.57,319.51,333.87,368.1,0
11.49,29.53,89.64,127.45,172.05,177.99,245.11,252.91,269.94,274.6,291.96,295.17,351.28,359.68,390.65,475.74,0
18.84,56.26,70.74,75.09,94.56,132.59,133.87,239.63,265.45,290.07,293.5,348.24,358.07,430.14,505.56,509.82,3
18.87,58.58,104.77,105.49,133.04,184.14,248.78,283.51,316.67,347.22,352.97,399.83,417.05,427.99,428.42,505.08,0
130.84,167.3,204.49,263.31,296.95,327.12,385.04,488.69,526.62,534.89,616.55,623.38,690.49,859.3,873.05,903.28,4
25.26,34.62,125.2,175.74,357.83,397.27,400.54,404.1,412.73,507.53,598.1,650.98,676.91,720.18,866.42,891.34,1
26.83,29.92,34.82,39.05,58.27,61.22,91.8,94.59,113.93,223.13,245.24,319.52,339.78,365.26,473.86,579.02,3
1.68,7.27,17.91,42.31,46.49,59.4,74.67,143.29,193.34,196.1,203.96,228.95,232.85,234.84,249.93,264.48,0
0.67,3.33,3.68,4.05,6.05,6.58,6.66,6.75,6.91,9.89,10.59,11.06,11.12,12.66,16.31,16.84,3
10.42,36.42,169.22,170.66,290.26,343.67,350.14,396.75,405.01,465.71,546.36,585.63,595.07,625.73,630.0,676.51,0
42.85,52.52,52.79,105.67,110.76,111.28,151.09,164.11,173.47,184.82,188.16,241.32,242.25,247.13,263.81,268.62,5
0.52,19.02,21.15,26.77,33.5,36.26,42.54,43.31,45.2,78.62,86.27,113.21,113.35,114.09,124.88,140.43,0
2.38,23.75,27.1,45.15,69.25,95.49,198.39,215.53,222.62,232.47,284.28,287.26,317.67,381.04,537.28,559.01,0
5.63,44.08,76.85,77.04,80.27,99.47,187.67,251.6,350.88,372.74,395.07,403.93,448.12,451.74,506.73,552.94,0
52.26,72.17,95.24,115.17,168.24,189.27,329.62,351.96,437.12,520.59,540.08,625.31,666.32,762.76,765.14,796.16,2
84.99,103.82,116.82,163.61,168.32,172.53,307.31,326.22,336.86,337.55,484.23,534.09,540.69,584.25,603.26,608.15,5
12.66,68.75,127.38,136.78,152.38,174.35,182.31,196.65,251.85,439.17,532.49,609.97,652.15,749.71,755.76,762.87,0
28.47,100.81,142.1,153.97,166.16,242.38,318.56,372.96,450.98,451.58,662.77,750.45,790.92,898.81,943.91,984.19,0
13.95,66.99,183.79,190.05,194.99,204.16,282.0,296.61,304.28,343.75,375.38,479.42,480.4,492.55,531.79,536.11,0
2.22,15.94,97.64,112.2,152.29,175.75,178.22,193.05,227.78,293.26,392.45,426.94,458.16,471.08,529.59,546.97,0
5.32,15.9,16.23,18.21,58.28,67.69,80.78,84.06,94.93,137.34,172.58,225.95,234.4,271.38,358.81,363.7,3
29.38,37.18,47.07,56.72,87.98,109.72,147.96,204.59,233.99,238.08,253.15,280.8,311.18,338.98,344.26,381.96,2
0.68,0.84,0.86,0.95,1.76,2.4,2.61,3.35,3.35,3.44,3.56,4.08,4.44,5.15,5.51,5.75,2
20.46,52.37,143.3,189.61,215.12,249.95,306.53,398.28,451.87,532.3,638.27,665.11,707.9,755.88,778.16,823.96,0
6.45,30.23,52.25,121.67,212.89,259.37,266.69,267.66,311.94,399.01,406.09,418.31,428.25,433.14,436.37,471.54,0
16.2,50.36,57.36,69.9,91.43,95.37,102.43,110.19,125.1,138.91,142.95,150.36,179.86,203.79,219.04,237.42,11
4.07,10.89,21.27,23.26,36.07,38.91,58.51,69.16,86.53,94.86,101.72,101.88,103.6,120.35,123.15,139.95,3
