15.0,263.54,335.0,706.0,0
154.0,169.56,170.0,181.37,3
8.0,119.0,375.0,752.48,0
15.07,17.0,45.0,46.0,1
192.55,271.0,279.0,338.41,2
41.58,158.0,199.0,276.0,0
33.03,44.0,179.0,366.33,1
1.43,2.0,17.0,33.0,0
65.0,116.89,167.0,171.21,3
26.0,197.0,200.0,278.55,0
321.31,571.0,649.0,773.0,0
342.66,459.0,575.0,648.0,1
298.88,654.0,749.0,764.0,0
39.42,64.0,93.0,96.08,3
147.0,302.0,347.44,416.0,0
15.0,144.0,176.9,226.0,0
102.34,218.0,288.0,542.0,0
115.34,118.0,233.0,296.0,1
18.0,217.46,283.0,457.31,0
135.0,223.0,339.0,395.66,0
148.0,173.98,418.0,446.0,1
460.5,529.0,566.0,585.29,3
73.87,293.0,301.0,356.24,0
23.0,43.0,80.56,127.0,1
26.0,609.0,677.43,684.0,0
272.0,581.3,582.0,837.0,0
55.0,90.71,137.0,268.0,1
263.0,365.3,655.0,659.0,0
379.68,379.0,439.0,742.0,2
12.0,25.0,67.45,189.0,1
173.0,363.36,383.0,406.0,0
372.0,447.0,599.0,820.05,1
134.0,224.0,323.55,580.0,0
32.0,165.0,254.4,500.0,0
47.0,70.0,122.84,142.0,1
202.0,356.98,695.0,786.0,0
9.0,537.09,869.0,947.0,0
383.0,443.0,484.0,496.71,3
237.46,276.0,500.0,545.0,1
98.0,193.46,224.0,279.0,3
97.0,98.0,172.0,338.54,1
71.83,408.0,639.0,672.0,0
126.69,150.0,197.0,613.61,2
20.0,21.0,34.0,36.82,2
91.0,241.1,373.0,471.0,0
2.0,5.0,57.42,113.0,0
107.0,124.25,266.0,554.0,1
209.0,213.2,260.0,386.0,2
207.0,248.18,308.0,318.0,3
8.66,12.0,23.0,35.0,1
190.18,200.0,488.0,646.0,1
122.0,301.0,482.34,535.0,0
84.14,89.0,138.0,266.98,1
3.0,110.53,170.0,506.0,0
7.0,12.74,42.0,44.22,1
16.09,86.0,102.0,149.73,0
22.43,150.0,392.0,708.0,0
66.0,72.56,157.0,169.0,1
174.0,275.92,439.0,469.0,3
176.0,298.07,429.0,496.03,2
5.22,27.0,35.0,48.81,0
5.14,13.0,32.0,37.0,0
128.83,179.0,286.0,591.63,1
18.15,18.0,93.0,120.0,1
39.0,203.0,219.44,250.0,0
441.57,481.0,484.0,601.0,2
7.0,20.0,23.65,44.0,2
342.76,476.0,761.0,858.0,0
73.78,473.0,655.0,817.23,0
20.0,45.0,54.52,55.0,3
8.52,57.0,75.65,119.0,0
74.02,123.0,153.22,195.0,2
6.0,109.91,129.0,348.0,0
7.0,143.0,151.0,450.59,0
105.14,146.0,179.0,250.0,3
99.32,116.0,439.25,445.0,1
82.34,164.0,400.0,579.0,0
45.23,63.0,78.0,84.0,3
246.0,308.11,581.0,626.0,1
48.0,95.7,394.0,494.0,0
61.56,109.0,111.79,116.0,3
17.0,72.79,80.0,95.87,0
286.35,298.0,317.0,754.33,2
219.91,726.0,759.0,870.0,0
27.11,161.0,205.0,293.18,0
103.36,176.0,181.0,765.0,2
121.07,174.0,202.0,299.0,2
91.05,298.0,327.39,397.0,0
590.69,624.0,636.3,658.0,3
50.85,175.0,260.0,380.0,0
77.29,211.0,218.0,413.6,0
391.51,510.0,786.0,834.0,1
88.6,140.0,318.0,529.0,0
331.06,508.0,650.0,653.0,3
111.27,145.0,386.0,423.0,1
145.27,291.0,502.0,543.0,0
296.54,300.0,434.6,728.0,2
28.0,55.15,79.0,320.0,2
92.96,547.0,618.0,882.86,0
244.0,268.3,370.0,423.0,1
43.44,74.0,107.81,117.0,2
65.0,75.0,105.71,216.0,2
8.45,21.0,26.7,34.0,3
15.0,25.0,48.34,134.0,2
19.51,59.0,390.45,422.0,0
230.0,360.94,500.0,500.0,0
164.66,203.0,243.0,268.78,3
102.0,166.0,406.75,536.0,1
279.0,308.0,352.83,374.0,3
8.66,100.0,108.0,215.62,0
54.2,90.0,123.0,154.0,2
321.66,531.0,579.0,736.04,2
3.0,35.0,63.74,92.0,0
36.86,113.0,132.13,216.0,0
3.0,235.1,243.0,318.0,0
357.38,550.0,701.25,712.0,0
0.0,0.75,0.0,1.0,0
140.95,161.0,165.09,335.0,2
27.0,61.87,115.0,121.46,1
6.55,30.0,37.0,42.0,0
270.2,290.0,449.0,475.0,1
23.0,153.0,164.0,175.54,0
72.53,350.0,421.0,768.44,0
117.0,243.98,343.0,449.0,0
149.52,197.0,561.0,655.0,1
108.13,114.0,406.0,556.0,1
79.0,209.0,321.2,546.0,0
13.0,150.39,183.0,194.0,0
